text,offensiveness
sex,0.9749436926781492
varsta,0.9061369774980046
sex,0.9749436926781492
actiune,0.8906127701404396
produse,0.9550356431815604
actiune,0.8906127701404396
produse,0.9550356431815604
functia,0.9006355978840983
deloc,0.9178683494018649
vaca,0.8648418143009987
vaca,0.8648418143009987
vaca,0.8648418143009987
vaca,0.8648418143009987
varsta,0.9061369774980046
cultura,0.9182656932163843
fir,0.8565505187581103
logic,0.907439171963994
rapid,0.9192465278282744
deloc,0.9178683494018649
restul,0.8922851604228013
porc,0.8736129592739934
intra,0.9581104651051175
ofera,0.8805432035637587
sine,0.9179007198751471
nul,0.9053825176464116
inseamna,0.9227561103244435
inseamna,0.9227561103244435
mici,0.9597528325284876
afara,0.909687947661401
culoare,0.8731824524272938
femeile,0.8844580310701078
secolul,0.8880568205097139
cauta,0.9064263873343427
culoare,0.8731824524272938
ofera,0.8805432035637587
cauta,0.9064263873343427
mici,0.9597528325284876
lumii,0.8877684477453996
iq,0.9684956065779703
iq,0.9684956065779703
folosit,0.9182815446276908
apar,0.8560912422440966
putin,0.8773148196423712
probabil,0.8742144828091435
